"rate","mean","lower","upper","source"
"Immigration",0.630879046902032,0.00567747088995664,0.999502571881997,"IPM posterior"
"Adult survival",0.904881742712796,0.534410021447959,0.999906665194883,"IPM posterior"
"Productivity",0.613450426675985,0.365868267576072,0.845194575656394,"IPM posterior"
